GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2015,Percent_2015
24510130805,"Census Tract 1308.05, Baltimore city, Maryland",915,116,170,65,48,30,22,17,70,5,7.142857143
24510151300,"Census Tract 1513, Baltimore city, Maryland",4553,611,1006,247,141,72,20,21,161,68,42.23602484
24510250101,"Census Tract 2501.01, Baltimore city, Maryland",4116,403,1196,269,202,87,116,70,318,27,8.490566038
24510260202,"Census Tract 2602.02, Baltimore city, Maryland",5509,568,1330,342,370,157,27,33,397,32,8.060453401
24510271001,"Census Tract 2710.01, Baltimore city, Maryland",2311,205,744,146,174,59,54,33,228,24,10.52631579
24510272004,"Census Tract 2720.04, Baltimore city, Maryland",4047,405,1216,299,281,184,291,108,572,163,28.4965035
24003702500,"Census Tract 7025, Anne Arundel County, Maryland",6364,486,1544,354,249,138,17,29,266,0,0
24001001800,"Census Tract 18, Allegany County, Maryland",4952,326,3078,338,2559,339,149,81,2708,710,26.21861152
24003702602,"Census Tract 7026.02, Anne Arundel County, Maryland",5471,314,1256,219,171,115,55,47,226,0,0
24003730204,"Census Tract 7302.04, Anne Arundel County, Maryland",6129,416,1717,286,357,119,16,19,373,37,9.919571046
24003740203,"Census Tract 7402.03, Anne Arundel County, Maryland",5588,250,1491,198,352,93,66,46,418,41,9.80861244
24003740500,"Census Tract 7405, Anne Arundel County, Maryland",9746,797,3272,570,895,360,735,277,1630,139,8.527607362
24003740800,"Census Tract 7408, Anne Arundel County, Maryland",4349,209,1105,147,240,101,48,39,288,34,11.80555556
24019970100,"Census Tract 9701, Dorchester County, Maryland",2751,198,677,111,158,79,43,33,201,44,21.89054726
24001001600,"Census Tract 16, Allegany County, Maryland",1769,147,538,93,153,70,34,27,187,41,21.92513369
24015030501,"Census Tract 305.01, Cecil County, Maryland",3844,210,773,195,118,57,47,39,165,7,4.242424242
24021750503,"Census Tract 7505.03, Frederick County, Maryland",6422,687,1941,407,305,186,98,73,403,31,7.692307692
24023000700,"Census Tract 7, Garrett County, Maryland",5512,373,1329,200,340,109,39,36,379,33,8.707124011
24003731204,"Census Tract 7312.04, Anne Arundel County, Maryland",6066,494,1703,335,332,136,21,26,353,0,0
24005402302,"Census Tract 4023.02, Baltimore County, Maryland",5355,453,1579,241,365,123,106,57,471,16,3.397027601
24025301702,"Census Tract 3017.02, Harford County, Maryland",8337,657,2552,456,502,174,174,112,676,59,8.727810651
24031705903,"Census Tract 7059.03, Montgomery County, Maryland",4275,201,1379,166,198,96,45,34,243,18,7.407407407
24033800412,"Census Tract 8004.12, Prince George's County, Maryland",3402,318,1042,196,262,108,45,37,307,17,5.537459283
24041960800,"Census Tract 9608, Talbot County, Maryland",2072,246,293,92,26,21,0,12,26,0,0
24001000200,"Census Tract 2, Allegany County, Maryland",4223,351,603,112,154,56,26,27,180,16,8.888888889
24003701102,"Census Tract 7011.02, Anne Arundel County, Maryland",7616,470,1673,259,215,97,95,73,310,28,9.032258065
24003706500,"Census Tract 7065, Anne Arundel County, Maryland",5234,416,1037,271,291,132,105,76,396,26,6.565656566
24047950900,"Census Tract 9509, Worcester County, Maryland",1711,243,308,101,95,44,17,19,112,0,0
24003730700,"Census Tract 7307, Anne Arundel County, Maryland",7297,465,2242,384,363,113,152,98,515,18,3.495145631
24003731105,"Census Tract 7311.05, Anne Arundel County, Maryland",3384,235,1151,183,321,117,104,54,425,34,8
24003751200,"Census Tract 7512, Anne Arundel County, Maryland",4139,316,1259,219,300,103,142,79,442,46,10.40723982
24005400800,"Census Tract 4008, Baltimore County, Maryland",2596,333,549,140,99,48,50,39,149,17,11.40939597
24005401506,"Census Tract 4015.06, Baltimore County, Maryland",4964,352,1643,232,393,137,129,70,522,107,20.49808429
24033802203,"Census Tract 8022.03, Prince George's County, Maryland",4354,644,886,222,252,96,1,9,253,12,4.743083004
