GEOID,NAME,ttl_lvE,ttl_lvM,ttl_blE,ttl_blM,undrg_E,undrg_M,grd_blE,grd_blM,fpl_total
"24031700310","Census Tract 7003.10, Montgomery County, Maryland",6294.000000000000000,480.000000000000000,680.000000000000000,413.000000000000000,57.000000000000000,86.000000000000000,0.000000000000000,17.000000000000000,"57"
"24047950000","Census Tract 9500, Worcester County, Maryland",1619.000000000000000,322.000000000000000,172.000000000000000,82.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,12.000000000000000,"1"
"24005408601","Census Tract 4086.01, Baltimore County, Maryland",3957.000000000000000,196.000000000000000,144.000000000000000,89.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24005490703","Census Tract 4907.03, Baltimore County, Maryland",2947.000000000000000,304.000000000000000,270.000000000000000,145.000000000000000,54.000000000000000,66.000000000000000,59.000000000000000,76.000000000000000,"113"
"24033806602","Census Tract 8066.02, Prince George's County, Maryland",5099.000000000000000,486.000000000000000,689.000000000000000,372.000000000000000,8.000000000000000,17.000000000000000,10.000000000000000,14.000000000000000,"18"
"24510260202","Census Tract 2602.02, Baltimore city, Maryland",5343.000000000000000,559.000000000000000,914.000000000000000,472.000000000000000,37.000000000000000,48.000000000000000,0.000000000000000,17.000000000000000,"37"
"24005430104","Census Tract 4301.04, Baltimore County, Maryland",2749.000000000000000,284.000000000000000,136.000000000000000,93.000000000000000,0.000000000000000,12.000000000000000,16.000000000000000,27.000000000000000,"16"
"24510150100","Census Tract 1501, Baltimore city, Maryland",2101.000000000000000,372.000000000000000,928.000000000000000,307.000000000000000,12.000000000000000,18.000000000000000,9.000000000000000,16.000000000000000,"21"
"24510250303","Census Tract 2503.03, Baltimore city, Maryland",2085.000000000000000,258.000000000000000,516.000000000000000,189.000000000000000,4.000000000000000,6.000000000000000,0.000000000000000,12.000000000000000,"4"
"24510180100","Census Tract 1801, Baltimore city, Maryland",2053.000000000000000,265.000000000000000,1186.000000000000000,337.000000000000000,66.000000000000000,56.000000000000000,0.000000000000000,12.000000000000000,"66"
"24031701422","Census Tract 7014.22, Montgomery County, Maryland",2707.000000000000000,272.000000000000000,378.000000000000000,173.000000000000000,45.000000000000000,42.000000000000000,5.000000000000000,7.000000000000000,"50"
"24043000400","Census Tract 4, Washington County, Maryland",1714.000000000000000,256.000000000000000,626.000000000000000,166.000000000000000,42.000000000000000,36.000000000000000,0.000000000000000,12.000000000000000,"42"
"24510020300","Census Tract 203, Baltimore city, Maryland",3655.000000000000000,396.000000000000000,342.000000000000000,120.000000000000000,24.000000000000000,30.000000000000000,25.000000000000000,41.000000000000000,"49"
"24005491000","Census Tract 4910, Baltimore County, Maryland",2184.000000000000000,101.000000000000000,16.000000000000000,14.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24510250402","Census Tract 2504.02, Baltimore city, Maryland",4442.000000000000000,458.000000000000000,1514.000000000000000,449.000000000000000,16.000000000000000,22.000000000000000,0.000000000000000,12.000000000000000,"16"
"24003750203","Census Tract 7502.03, Anne Arundel County, Maryland",1328.000000000000000,112.000000000000000,80.000000000000000,55.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24031701218","Census Tract 7012.18, Montgomery County, Maryland",2776.000000000000000,298.000000000000000,227.000000000000000,87.000000000000000,33.000000000000000,39.000000000000000,18.000000000000000,20.000000000000000,"51"
"24005404102","Census Tract 4041.02, Baltimore County, Maryland",5805.000000000000000,560.000000000000000,166.000000000000000,110.000000000000000,0.000000000000000,17.000000000000000,0.000000000000000,17.000000000000000,"0"
"24005452500","Census Tract 4525, Baltimore County, Maryland",3850.000000000000000,304.000000000000000,488.000000000000000,277.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24510150600","Census Tract 1506, Baltimore city, Maryland",2685.000000000000000,482.000000000000000,1115.000000000000000,480.000000000000000,133.000000000000000,168.000000000000000,0.000000000000000,12.000000000000000,"133"
"24033806708","Census Tract 8067.08, Prince George's County, Maryland",4287.000000000000000,372.000000000000000,233.000000000000000,126.000000000000000,0.000000000000000,12.000000000000000,12.000000000000000,19.000000000000000,"12"
"24031703302","Census Tract 7033.02, Montgomery County, Maryland",3970.000000000000000,374.000000000000000,279.000000000000000,227.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24005408800","Census Tract 4088, Baltimore County, Maryland",2452.000000000000000,220.000000000000000,88.000000000000000,61.000000000000000,18.000000000000000,20.000000000000000,0.000000000000000,12.000000000000000,"18"
"24005450400","Census Tract 4504, Baltimore County, Maryland",2103.000000000000000,151.000000000000000,324.000000000000000,129.000000000000000,11.000000000000000,11.000000000000000,0.000000000000000,12.000000000000000,"11"
"24510260102","Census Tract 2601.02, Baltimore city, Maryland",4660.000000000000000,420.000000000000000,469.000000000000000,276.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24033802107","Census Tract 8021.07, Prince George's County, Maryland",3626.000000000000000,352.000000000000000,267.000000000000000,133.000000000000000,0.000000000000000,12.000000000000000,0.000000000000000,12.000000000000000,"0"
"24510151100","Census Tract 1511, Baltimore city, Maryland",7328.000000000000000,1165.000000000000000,1305.000000000000000,715.000000000000000,57.000000000000000,66.000000000000000,0.000000000000000,17.000000000000000,"57"
"24031701210","Census Tract 7012.10, Montgomery County, Maryland",3972.000000000000000,192.000000000000000,121.000000000000000,91.000000000000000,15.000000000000000,23.000000000000000,0.000000000000000,12.000000000000000,"15"
