GEOID,Census Tract,County,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2,Percent_20,fpl_tota_1,Percent__1,difference
24005492300,Census Tract 4923, Baltimore County,802,200,183,80,37,29,220,27,12.27272727,8,6.896551724,-5.376
24005492402,Census Tract 4924.02, Baltimore County,1983,390,538,261,233,170,771,135,17.50972763,49,10.49250535,-7.017
24005980000,Census Tract 9800, Baltimore County,0,12,0,12,0,12,0,0,0,0,0,0
24009860101,Census Tract 8601.01, Calvert County,904,148,141,55,18,29,159,20,12.57861635,17,11.48648649,-1.092
24009860200,Census Tract 8602, Calvert County,1944,217,344,100,129,68,473,20,4.22832981,0,0,-4.228
24009860401,Census Tract 8604.01, Calvert County,2911,327,661,166,146,73,807,123,15.24163569,0,0,-15.242
24021753001,Census Tract 7530.01, Frederick County,1114,168,215,93,61,49,276,15,5.434782609,0,0,-5.435
24021766800,Census Tract 7668, Frederick County,2817,309,1875,271,87,66,1962,48,2.44648318,76,3.701899659,1.255
24001002100,Census Tract 21, Allegany County,645,137,182,69,34,40,216,42,19.44444444,16,17.77777778,-1.667
24005402303,Census Tract 4023.03, Baltimore County,1755,463,412,182,199,101,611,120,19.63993453,118,20.62937063,0.989
24005402306,Census Tract 4023.06, Baltimore County,1166,206,276,94,94,65,370,66,17.83783784,40,12.19512195,-5.643
24005402403,Census Tract 4024.03, Baltimore County,652,151,181,73,70,52,251,56,22.31075697,54,32.33532934,10.025
24005402406,Census Tract 4024.06, Baltimore County,2049,358,644,253,253,140,897,59,6.577480491,94,17.87072243,11.293
24005402503,Census Tract 4025.03, Baltimore County,1754,356,464,188,95,84,559,85,15.20572451,46,10.31390135,-4.892
24005402602,Census Tract 4026.02, Baltimore County,587,142,168,73,40,33,208,0,0,8,3.773584906,3.774
24005402603,Census Tract 4026.03, Baltimore County,1711,535,389,200,319,329,708,17,2.401129944,0,0,-2.401
24005403100,Census Tract 4031, Baltimore County,436,102,44,29,52,29,96,0,0,0,0,0
24005403402,Census Tract 4034.02, Baltimore County,837,232,305,139,31,39,336,35,10.41666667,13,9.219858156,-1.197
24005403601,Census Tract 4036.01, Baltimore County,941,214,139,68,140,83,279,9,3.225806452,110,44,40.774
24005403702,Census Tract 4037.02, Baltimore County,1744,430,765,251,258,134,1023,29,2.834799609,28,4.64344942,1.809
24005403802,Census Tract 4038.02, Baltimore County,803,115,110,64,53,33,163,9,5.521472393,17,12.14285714,6.621
24009860502,Census Tract 8605.02, Calvert County,898,153,173,98,46,42,219,0,0,0,0,0
24009860701,Census Tract 8607.01, Calvert County,757,181,189,83,29,27,218,42,19.26605505,49,16.72354949,-2.543
24009860801,Census Tract 8608.01, Calvert County,2064,299,393,127,102,65,495,18,3.636363636,0,0,-3.636
24009860900,Census Tract 8609, Calvert County,1416,249,187,80,143,118,330,24,7.272727273,26,7.854984894,0.582
24013513001,Census Tract 5130.01, Carroll County,1394,137,258,87,32,28,290,8,2.75862069,24,6.332453826,3.574
24013514100,Census Tract 5141, Carroll County,745,112,140,72,52,33,192,0,0,0,0,0
24015030505,Census Tract 305.05, Cecil County,939,256,155,83,74,65,229,38,16.59388646,44,10.75794621,-5.836
24015030601,Census Tract 306.01, Cecil County,685,177,179,99,16,17,195,0,0,1,0.485436893,0.485
24015030903,Census Tract 309.03, Cecil County,1024,301,132,77,34,38,166,0,0,24,9.125475285,9.125
24015030905,Census Tract 309.05, Cecil County,867,246,80,55,0,12,80,0,0,17,20.98765432,20.988
24003701300,Census Tract 7013, Anne Arundel County,1983,225,311,123,17,27,328,0,0,0,0,0
24003701400,Census Tract 7014, Anne Arundel County,786,144,104,68,0,12,104,0,0,9,5.263157895,5.263
24003702208,Census Tract 7022.08, Anne Arundel County,1786,336,167,115,107,87,274,15,5.474452555,0,0,-5.474
24003702300,Census Tract 7023, Anne Arundel County,1368,216,240,83,32,28,272,19,6.985294118,0,0,-6.985
24003702601,Census Tract 7026.01, Anne Arundel County,1368,166,135,138,176,139,311,53,17.04180064,32,10.12658228,-6.915
24005404102,Census Tract 4041.02, Baltimore County,1670,496,423,195,80,73,503,87,17.29622266,0,0,-17.296
24005404202,Census Tract 4042.02, Baltimore County,3828,473,1852,328,166,84,2018,31,1.53617443,144,7.350689127,5.815
24005404402,Census Tract 4044.02, Baltimore County,1854,227,288,148,255,137,543,12,2.209944751,35,6.822612086,4.613
24005404502,Census Tract 4045.02, Baltimore County,1160,269,336,167,26,26,362,108,29.83425414,84,26.66666667,-3.168
24005404600,Census Tract 4046, Baltimore County,551,135,108,62,20,21,128,48,37.5,2,2.898550725,-34.601
24005406000,Census Tract 4060, Baltimore County,1414,218,342,148,45,45,387,0,0,0,0,0
24011955201,Census Tract 9552.01, Caroline County,1092,167,114,50,49,39,163,20,12.26993865,4,3.669724771,-8.6
24011955400,Census Tract 9554, Caroline County,399,95,83,33,27,42,110,9,8.181818182,8,8.510638298,0.329
24013501001,Census Tract 5010.01, Carroll County,1314,232,267,87,44,39,311,18,5.78778135,0,0,-5.788
24013502000,Census Tract 5020, Carroll County,893,144,122,55,29,28,151,0,0,19,15.32258065,15.323
24015031201,Census Tract 312.01, Cecil County,1627,372,378,175,4,6,382,15,3.926701571,19,5.23415978,1.307
24015031302,Census Tract 313.02, Cecil County,2079,232,283,134,114,83,397,43,10.83123426,0,0,-10.831
24017850102,Census Tract 8501.02, Charles County,544,99,53,35,42,42,95,1,1.052631579,0,0,-1.053
24017850202,Census Tract 8502.02, Charles County,1407,199,240,130,31,30,271,9,3.32103321,8,4.938271605,1.617
24017850400,Census Tract 8504, Charles County,973,163,192,128,36,44,228,58,25.43859649,0,0,-25.439
