GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,fpl_total2019,Percent_2019
24033807301,"Census Tract 8073.01, Prince George's County, Maryland",3292,341,1313,212,341,144,561,215,902,191,21.1751663
24033801801,"Census Tract 8018.01, Prince George's County, Maryland",1975,251,450,166,66,43,38,29,104,0,0
24017850802,"Census Tract 8508.02, Charles County, Maryland",5150,488,1508,355,410,184,58,51,468,14,2.991452991
24031701007,"Census Tract 7010.07, Montgomery County, Maryland",3236,278,700,145,136,59,110,84,246,17,6.910569106
24510200800,"Census Tract 2008, Baltimore city, Maryland",2152,328,739,194,187,101,10,12,197,7,3.553299492
24027602600,"Census Tract 6026, Howard County, Maryland",7746,513,2079,245,578,165,208,140,786,149,18.956743
24033801704,"Census Tract 8017.04, Prince George's County, Maryland",4845,604,1327,453,249,148,121,105,370,23,6.216216216
24043011600,"Census Tract 116, Washington County, Maryland",2897,226,664,143,138,69,19,18,157,11,7.006369427
24033803613,"Census Tract 8036.13, Prince George's County, Maryland",5704,560,1645,334,582,207,56,52,638,57,8.934169279
24033802502,"Census Tract 8025.02, Prince George's County, Maryland",2159,263,466,128,54,37,0,12,54,0,0
24031705902,"Census Tract 7059.02, Montgomery County, Maryland",4149,349,1150,193,161,75,82,50,243,16,6.58436214
24003740701,"Census Tract 7407.01, Anne Arundel County, Maryland",6357,356,1886,255,414,149,108,78,522,0,0
24031702700,"Census Tract 7027, Montgomery County, Maryland",7274,478,2185,392,618,267,182,113,800,95,11.875
24033804102,"Census Tract 8041.02, Prince George's County, Maryland",5553,375,1103,249,245,110,63,55,308,12,3.896103896
24003740105,"Census Tract 7401.05, Anne Arundel County, Maryland",3428,421,1150,253,199,87,10,17,209,0,0
24027606706,"Census Tract 6067.06, Howard County, Maryland",4650,262,1322,204,331,157,155,71,486,145,29.83539095
24041960400,"Census Tract 9604, Talbot County, Maryland",4926,398,913,207,144,97,76,60,220,89,40.45454545
24041960800,"Census Tract 9608, Talbot County, Maryland",2093,240,425,121,62,58,0,12,62,0,0
24003730902,"Census Tract 7309.02, Anne Arundel County, Maryland",3590,268,992,199,209,94,53,44,262,0,0
24005420301,"Census Tract 4203.01, Baltimore County, Maryland",2198,223,628,151,84,49,30,29,114,26,22.80701754
24005420302,"Census Tract 4203.02, Baltimore County, Maryland",2339,199,612,147,139,76,25,28,164,9,5.487804878
24005408302,"Census Tract 4083.02, Baltimore County, Maryland",2635,166,631,123,94,62,46,40,140,24,17.14285714
24001000200,"Census Tract 2, Allegany County, Maryland",3913,329,493,121,73,42,7,12,80,14,17.5
24510130805,"Census Tract 1308.05, Baltimore city, Maryland",971,77,117,44,47,31,5,8,52,5,9.615384615
24510280301,"Census Tract 2803.01, Baltimore city, Maryland",3657,445,789,287,176,111,177,177,353,88,24.92917847
24019970500,"Census Tract 9705, Dorchester County, Maryland",3367,371,999,286,104,75,26,28,130,94,72.30769231
24510271002,"Census Tract 2710.02, Baltimore city, Maryland",3951,480,983,291,42,40,0,12,42,0,0
24031703215,"Census Tract 7032.15, Montgomery County, Maryland",3400,439,956,219,157,87,89,69,246,46,18.69918699
24035811000,"Census Tract 8110, Queen Anne's County, Maryland",4132,292,799,226,170,136,71,53,241,85,35.26970954
24021752202,"Census Tract 7522.02, Frederick County, Maryland",4467,300,1749,244,274,100,124,95,398,20,5.025125628
24025303602,"Census Tract 3036.02, Harford County, Maryland",3507,210,847,127,153,69,73,44,226,0,0
24005492600,"Census Tract 4926, Baltimore County, Maryland",3495,285,1060,267,171,76,37,30,208,19,9.134615385
24025302901,"Census Tract 3029.01, Harford County, Maryland",2331,366,709,191,145,66,30,32,175,57,32.57142857
24025302100,"Census Tract 3021, Harford County, Maryland",2112,204,517,111,140,51,24,20,164,6,3.658536585
24031700614,"Census Tract 7006.14, Montgomery County, Maryland",4943,444,1367,245,313,130,96,98,409,0,0
24037876002,"Census Tract 8760.02, St. Mary's County, Maryland",10049,638,3383,522,900,268,342,158,1242,89,7.165861514
24005402305,"Census Tract 4023.05, Baltimore County, Maryland",1982,179,523,168,117,68,36,29,153,16,10.45751634
24005980000,"Census Tract 9800, Baltimore County, Maryland",0,12,0,12,0,12,0,12,0,0,#DIV/0!
24011955400,"Census Tract 9554, Caroline County, Maryland",2009,149,418,101,91,56,3,5,94,8,8.510638298
24031703000,"Census Tract 7030, Montgomery County, Maryland",1617,116,365,70,65,45,21,14,86,0,0
24023000700,"Census Tract 7, Garrett County, Maryland",5642,367,1210,229,178,92,57,49,235,52,22.12765957
24510270901,"Census Tract 2709.01, Baltimore city, Maryland",4238,558,1039,325,428,203,47,43,475,59,12.42105263
24510040100,"Census Tract 401, Baltimore city, Maryland",4951,563,1634,433,149,122,1178,346,1327,432,32.55463451
24035810500,"Census Tract 8105, Queen Anne's County, Maryland",5376,362,1578,166,262,139,74,43,336,24,7.142857143
24035810200,"Census Tract 8102, Queen Anne's County, Maryland",2599,238,514,102,34,23,26,22,60,3,5
24510080700,"Census Tract 807, Baltimore city, Maryland",585,154,128,62,35,27,38,39,73,0,0
24033800604,"Census Tract 8006.04, Prince George's County, Maryland",1569,117,438,110,119,61,29,23,148,22,14.86486486
24021752602,"Census Tract 7526.02, Frederick County, Maryland",2850,374,717,255,193,101,19,23,212,8,3.773584906
24021752802,"Census Tract 7528.02, Frederick County, Maryland",3550,191,815,135,131,50,35,24,166,0,0
24005403801,"Census Tract 4038.01, Baltimore County, Maryland",1559,155,339,98,53,38,17,17,70,0,0
24005441101,"Census Tract 4411.01, Baltimore County, Maryland",2245,209,376,95,102,50,26,28,128,11,8.59375
24033805101,"Census Tract 8051.01, Prince George's County, Maryland",3670,445,957,240,193,104,9,15,202,0,0
24033805201,"Census Tract 8052.01, Prince George's County, Maryland",4433,414,1295,277,274,117,17,25,291,81,27.83505155
24033803700,"Census Tract 8037, Prince George's County, Maryland",2582,204,724,138,97,35,19,18,116,0,0
24033803801,"Census Tract 8038.01, Prince George's County, Maryland",2305,222,557,103,49,32,23,21,72,4,5.555555556
24013505208,"Census Tract 5052.08, Carroll County, Maryland",4366,302,1019,198,151,104,31,39,182,0,0
24013508200,"Census Tract 5082, Carroll County, Maryland",6795,464,1863,415,397,202,163,112,560,16,2.857142857
24031703218,"Census Tract 7032.18, Montgomery County, Maryland",1934,157,28,25,0,12,18,20,18,0,0
24013505101,"Census Tract 5051.01, Carroll County, Maryland",3853,254,1186,165,216,80,69,50,285,0,0
24017850101,"Census Tract 8501.01, Charles County, Maryland",5777,749,1524,373,418,172,104,63,522,40,7.662835249
24017851301,"Census Tract 8513.01, Charles County, Maryland",5035,366,1479,282,322,110,66,44,388,0,0
24510250101,"Census Tract 2501.01, Baltimore city, Maryland",3983,379,1015,268,183,116,68,59,251,34,13.54581673
24510010100,"Census Tract 101, Baltimore city, Maryland",2923,305,483,211,121,123,240,93,361,44,12.18836565
24009860200,"Census Tract 8602, Calvert County, Maryland",6108,362,1727,285,376,182,63,56,439,0,0
24009860703,"Census Tract 8607.03, Calvert County, Maryland",3841,376,1090,222,304,123,27,27,331,27,8.157099698
24009860300,"Census Tract 8603, Calvert County, Maryland",4439,257,1027,163,130,75,21,22,151,0,0
24009861001,"Census Tract 8610.01, Calvert County, Maryland",1126,109,357,100,113,49,27,24,140,0,0
24029950200,"Census Tract 9502, Kent County, Maryland",4481,354,885,155,213,83,92,62,305,28,9.180327869
24013506200,"Census Tract 5062, Carroll County, Maryland",5180,327,1274,241,187,90,57,39,244,0,0
24510240200,"Census Tract 2402, Baltimore city, Maryland",2709,196,404,154,52,49,164,100,216,22,10.18518519
24025303501,"Census Tract 3035.01, Harford County, Maryland",6681,438,1607,316,237,102,74,61,311,26,8.360128617
24033802408,"Census Tract 8024.08, Prince George's County, Maryland",1763,172,283,79,38,24,29,27,67,6,8.955223881
24033802405,"Census Tract 8024.05, Prince George's County, Maryland",3643,351,807,241,117,87,55,47,172,0,0
24033802901,"Census Tract 8029.01, Prince George's County, Maryland",3645,395,801,209,174,97,30,29,204,18,8.823529412
24009860600,"Census Tract 8606, Calvert County, Maryland",6878,474,2112,350,500,180,118,96,618,9,1.45631068
24510151300,"Census Tract 1513, Baltimore city, Maryland",4321,558,1029,286,139,71,42,51,181,34,18.78453039
24003708001,"Census Tract 7080.01, Anne Arundel County, Maryland",3529,352,664,180,108,55,57,47,165,34,20.60606061
24003980000,"Census Tract 9800, Anne Arundel County, Maryland",6,5,0,12,0,12,0,12,0,0,#DIV/0!
24023000100,"Census Tract 1, Garrett County, Maryland",3570,276,667,142,96,49,65,40,161,0,0
24023000500,"Census Tract 5, Garrett County, Maryland",4166,385,722,177,221,84,27,27,248,32,12.90322581
24013505206,"Census Tract 5052.06, Carroll County, Maryland",3292,187,884,106,94,62,72,41,166,54,32.53012048
24031700812,"Census Tract 7008.12, Montgomery County, Maryland",3969,451,948,288,203,73,31,31,234,0,0
24510120500,"Census Tract 1205, Baltimore city, Maryland",2165,238,501,123,130,63,123,46,253,87,34.38735178
24017850709,"Census Tract 8507.09, Charles County, Maryland",6369,875,1938,523,254,151,41,48,295,30,10.16949153
24015031302,"Census Tract 313.02, Cecil County, Maryland",6634,442,2042,266,182,75,49,38,231,0,0
24033803525,"Census Tract 8035.25, Prince George's County, Maryland",2212,295,631,251,171,93,35,35,206,9,4.368932039
24510272006,"Census Tract 2720.06, Baltimore city, Maryland",3263,297,752,188,105,53,22,21,127,28,22.04724409
24027606804,"Census Tract 6068.04, Howard County, Maryland",3263,187,1020,191,346,116,171,67,517,112,21.66344294
24013504100,"Census Tract 5041, Carroll County, Maryland",4896,296,1108,224,199,89,90,60,289,0,0
24033802203,"Census Tract 8022.03, Prince George's County, Maryland",4606,521,1023,260,108,77,24,26,132,0,0
24013502000,"Census Tract 5020, Carroll County, Maryland",3479,217,670,133,103,50,21,23,124,19,15.32258065
24025303801,"Census Tract 3038.01, Harford County, Maryland",2609,202,540,110,143,72,39,34,182,22,12.08791209
24013507702,"Census Tract 5077.02, Carroll County, Maryland",3591,242,646,126,190,79,34,26,224,7,3.125
