GEOID,NAME,ttl_ppE,ttl_ppM,ttl_nrE,ttl_nrM,undrg_E,undrg_M,grd_ppE,grd_ppM,totalenrol,totalenr_1,difference,Census Tract,County
"24031700310","Census Tract 7003.10, Montgomery County, Maryland",6294.000000000000000,480.000000000000000,1439.000000000000000,346.000000000000000,413.000000000000000,165.000000000000000,106.000000000000000,87.000000000000000,"519","682","-163",Census Tract 7003.10, Montgomery County
"24047950000","Census Tract 9500, Worcester County, Maryland",1648.000000000000000,325.000000000000000,131.000000000000000,103.000000000000000,63.000000000000000,61.000000000000000,0.000000000000000,12.000000000000000,"63","12","51",Census Tract 9500, Worcester County
"24005408601","Census Tract 4086.01, Baltimore County, Maryland",3985.000000000000000,193.000000000000000,1067.000000000000000,133.000000000000000,156.000000000000000,63.000000000000000,44.000000000000000,37.000000000000000,"200","304","-104",Census Tract 4086.01, Baltimore County
"24005490703","Census Tract 4907.03, Baltimore County, Maryland",2961.000000000000000,305.000000000000000,829.000000000000000,207.000000000000000,144.000000000000000,78.000000000000000,129.000000000000000,88.000000000000000,"273","361","-88",Census Tract 4907.03, Baltimore County
"24033806602","Census Tract 8066.02, Prince George's County, Maryland",5225.000000000000000,514.000000000000000,1380.000000000000000,289.000000000000000,96.000000000000000,77.000000000000000,82.000000000000000,59.000000000000000,"178","615","-437",Census Tract 8066.02, Prince George's County
"24510260202","Census Tract 2602.02, Baltimore city, Maryland",5439.000000000000000,569.000000000000000,1298.000000000000000,382.000000000000000,184.000000000000000,126.000000000000000,30.000000000000000,52.000000000000000,"214","397","-183",Census Tract 2602.02, Baltimore city
"24005430104","Census Tract 4301.04, Baltimore County, Maryland",2749.000000000000000,284.000000000000000,416.000000000000000,124.000000000000000,106.000000000000000,51.000000000000000,28.000000000000000,34.000000000000000,"134","151","-17",Census Tract 4301.04, Baltimore County
"24510150100","Census Tract 1501, Baltimore city, Maryland",2101.000000000000000,372.000000000000000,431.000000000000000,182.000000000000000,57.000000000000000,55.000000000000000,9.000000000000000,16.000000000000000,"66","106","-40",Census Tract 1501, Baltimore city
"24510250303","Census Tract 2503.03, Baltimore city, Maryland",2112.000000000000000,263.000000000000000,389.000000000000000,144.000000000000000,44.000000000000000,29.000000000000000,0.000000000000000,12.000000000000000,"44","34","10",Census Tract 2503.03, Baltimore city
"24510180100","Census Tract 1801, Baltimore city, Maryland",2053.000000000000000,265.000000000000000,740.000000000000000,213.000000000000000,113.000000000000000,74.000000000000000,0.000000000000000,12.000000000000000,"113","113","0",Census Tract 1801, Baltimore city
